INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	1	, 	'/images/1.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	22	, 	'/images/22.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	23	, 	'/images/23.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	24	, 	'/images/24.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	25	, 	'/images/25.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	26	, 	'/images/26.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	27	, 	'/images/27.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	28	, 	'/images/28.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	29	, 	'/images/29.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	30	, 	'/images/30.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	31	, 	'/images/31.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	32	, 	'/images/32.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	33	, 	'/images/33.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	34	, 	'/images/34.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	35	, 	'/images/35.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	36	, 	'/images/36.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	37	, 	'/images/37.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	38	, 	'/images/38.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	39	, 	'/images/39.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	40	, 	'/images/40.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	41	, 	'/images/41.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	42	, 	'/images/42.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	43	, 	'/images/43.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	44	, 	'/images/44.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	45	, 	'/images/45.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	46	, 	'/images/46.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	47	, 	'/images/47.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	48	, 	'/images/48.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	49	, 	'/images/49.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	50	, 	'/images/50.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	51	, 	'/images/51.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	52	, 	'/images/52.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	53	, 	'/images/53.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	54	, 	'/images/54.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	55	, 	'/images/55.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	56	, 	'/images/56.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	57	, 	'/images/57.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	58	, 	'/images/58.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	59	, 	'/images/59.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	60	, 	'/images/60.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	61	, 	'/images/61.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	62	, 	'/images/62.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	63	, 	'/images/63.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	64	, 	'/images/64.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	65	, 	'/images/65.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	66	, 	'/images/66.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	67	, 	'/images/67.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	68	, 	'/images/68.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	69	, 	'/images/69.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	70	, 	'/images/70.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	71	, 	'/images/71.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	72	, 	'/images/72.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	73	, 	'/images/73.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	74	, 	'/images/74.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	75	, 	'/images/75.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	76	, 	'/images/76.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	77	, 	'/images/77.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	78	, 	'/images/78.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	79	, 	'/images/79.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	80	, 	'/images/80.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	81	, 	'/images/81.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	82	, 	'/images/82.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	83	, 	'/images/83.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	84	, 	'/images/84.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	85	, 	'/images/85.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	86	, 	'/images/86.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	87	, 	'/images/87.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	88	, 	'/images/88.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	89	, 	'/images/89.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	90	, 	'/images/90.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	91	, 	'/images/91.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	92	, 	'/images/92.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	93	, 	'/images/93.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	94	, 	'/images/94.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	95	, 	'/images/95.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	96	, 	'/images/96.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	97	, 	'/images/97.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	98	, 	'/images/98.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	99	, 	'/images/99.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	100	, 	'/images/100.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	101	, 	'/images/101.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	102	, 	'/images/102.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	103	, 	'/images/103.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	104	, 	'/images/104.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	105	, 	'/images/105.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	106	, 	'/images/106.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	107	, 	'/images/107.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	108	, 	'/images/108.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	109	, 	'/images/109.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	110	, 	'/images/110.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	111	, 	'/images/111.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	112	, 	'/images/112.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	113	, 	'/images/113.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	114	, 	'/images/114.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	115	, 	'/images/115.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	116	, 	'/images/116.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	117	, 	'/images/117.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	118	, 	'/images/118.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	119	, 	'/images/119.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	120	, 	'/images/120.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	121	, 	'/images/121.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	122	, 	'/images/122.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	123	, 	'/images/123.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	124	, 	'/images/124.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	125	, 	'/images/125.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	126	, 	'/images/126.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	127	, 	'/images/127.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	128	, 	'/images/128.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	129	, 	'/images/129.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	130	, 	'/images/130.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	131	, 	'/images/131.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	132	, 	'/images/132.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	133	, 	'/images/133.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	134	, 	'/images/134.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	135	, 	'/images/135.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	136	, 	'/images/136.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	137	, 	'/images/137.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	138	, 	'/images/138.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	139	, 	'/images/139.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	140	, 	'/images/140.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	141	, 	'/images/141.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	142	, 	'/images/142.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	143	, 	'/images/143.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	144	, 	'/images/144.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	145	, 	'/images/145.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	146	, 	'/images/146.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	147	, 	'/images/147.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	148	, 	'/images/148.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	149	, 	'/images/149.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	150	, 	'/images/150.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	151	, 	'/images/151.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	152	, 	'/images/152.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	153	, 	'/images/153.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	154	, 	'/images/154.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	155	, 	'/images/155.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	156	, 	'/images/156.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	157	, 	'/images/157.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	158	, 	'/images/158.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	159	, 	'/images/159.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	160	, 	'/images/160.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	161	, 	'/images/161.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	162	, 	'/images/162.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	163	, 	'/images/163.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	164	, 	'/images/164.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	165	, 	'/images/165.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	166	, 	'/images/166.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	167	, 	'/images/167.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	168	, 	'/images/168.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	169	, 	'/images/169.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	170	, 	'/images/170.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	171	, 	'/images/171.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	172	, 	'/images/172.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	173	, 	'/images/173.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	174	, 	'/images/174.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	175	, 	'/images/175.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	176	, 	'/images/176.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	177	, 	'/images/177.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	178	, 	'/images/178.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	179	, 	'/images/179.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	180	, 	'/images/180.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	181	, 	'/images/181.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	182	, 	'/images/182.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	183	, 	'/images/183.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	184	, 	'/images/184.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	185	, 	'/images/185.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	186	, 	'/images/186.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	187	, 	'/images/187.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	188	, 	'/images/188.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	189	, 	'/images/189.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	190	, 	'/images/190.jpg'	);
