	modelname		description		price		condition		brand	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'거의 새 거예요. 사용감 없어요!'	, 	710000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor Magic4'	, 	'사용감 거의 없고 상태 좋아요.'	, 	980000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme GT Neo 2'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	440000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme GT Neo 2'	, 	'거의 새 거예요. 사용감 없어요!'	, 	680000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Velvet'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1070000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo A76'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1160000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	880000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Redmi Note 12'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	630000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	700000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 9 Pro'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1150000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone SE'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	300000	, 	'C'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme Narzo 50'	, 	'거의 새 거예요. 사용감 없어요!'	, 	200000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	430000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1030000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	230000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1010000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1160000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'거의 새 거예요. 사용감 없어요!'	, 	490000	, 	'S'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Mi 11 Lite'	, 	'사용감 거의 없고 상태 좋아요.'	, 	310000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo Y21'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	680000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	410000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1040000	, 	'B'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'거의 새 거예요. 사용감 없어요!'	, 	450000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	570000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme GT Neo 2'	, 	'거의 새 거예요. 사용감 없어요!'	, 	940000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1080000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	220000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme GT Neo 2'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1100000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'거의 새 거예요. 사용감 없어요!'	, 	910000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	970000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor Magic4'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	590000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo Y21'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1010000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 14 Pro'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	200000	, 	'C'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Poco F5'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1160000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	270000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone SE'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1180000	, 	'C'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ROG Phone 7'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	430000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1150000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme Narzo 50'	, 	'사용감 거의 없고 상태 좋아요.'	, 	470000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S23'	, 	'사용감 거의 없고 상태 좋아요.'	, 	490000	, 	'A'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1040000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Velvet'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	900000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1150000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	420000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Find X5'	, 	'거의 새 거예요. 사용감 없어요!'	, 	520000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia X10'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1010000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 5 III'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	850000	, 	'C'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1080000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'사용감 거의 없고 상태 좋아요.'	, 	550000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	620000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	680000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy Z Fold5'	, 	'거의 새 거예요. 사용감 없어요!'	, 	870000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	440000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Poco F5'	, 	'사용감 거의 없고 상태 좋아요.'	, 	690000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	920000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor X8'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	690000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Redmi Note 12'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1110000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1020000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Velvet'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1150000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor X8'	, 	'거의 새 거예요. 사용감 없어요!'	, 	300000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	960000	, 	'C'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Mi 11 Lite'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	790000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Find X5'	, 	'거의 새 거예요. 사용감 없어요!'	, 	690000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1010000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1020000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1000000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 거의 없고 상태 좋아요.'	, 	530000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	720000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 5 III'	, 	'거의 새 거예요. 사용감 없어요!'	, 	640000	, 	'S'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo A76'	, 	'거의 새 거예요. 사용감 없어요!'	, 	860000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Redmi Note 12'	, 	'거의 새 거예요. 사용감 없어요!'	, 	360000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	460000	, 	'S'	, 	'기타'	);
